,pred_asakatsu_yasai,pred_bihidasu_yogurt,pred_dodekamin,pred_ichinichibun_no_yasai,pred_ocha_lemon_green,pred_oi_ocha_koi_cha,pred_oi_ocha_ryokucha,pred_savas_milk_protein_banana,pred_savas_whey_protein,pred_zero_cider_triple,pred_zero_cider_triple_plus_afa
true_asakatsu_yasai,15,0,0,0,0,0,0,0,0,0,0
true_bihidasu_yogurt,0,12,0,0,0,0,0,0,0,0,0
true_dodekamin,0,0,10,0,0,0,0,0,0,0,0
true_ichinichibun_no_yasai,0,0,0,15,0,0,0,0,0,0,0
true_ocha_lemon_green,0,0,0,0,14,0,0,0,0,0,0
true_oi_ocha_koi_cha,0,0,0,0,0,12,0,0,0,0,0
true_oi_ocha_ryokucha,0,0,0,0,0,0,16,0,0,0,0
true_savas_milk_protein_banana,0,0,0,0,0,0,0,16,0,0,0
true_savas_whey_protein,0,0,0,0,0,0,0,0,17,0,0
true_zero_cider_triple,0,0,0,0,0,0,0,0,0,10,0
true_zero_cider_triple_plus_afa,0,0,0,0,0,0,0,0,0,2,10
